id_venta,producto,precio,cantidad,fecha_venta,categoria,precio_total
792,Cuadro decorativo,$69.94,5,02/01/2024,Decoración,349.70
811,Lámpara de mesa,$105.10,5,02/01/2024,Decoración,525.50
1156,Secadora,$97.96,3,02/01/2024,Electrodomésticos,293.88
1372,Heladera,$114.35,8,02/01/2024,Electrodomésticos,914.80
1546,Secadora,$106.21,4,02/01/2024,Electrodomésticos,424.84
1697,Horno eléctrico,$35.35,9,02/01/2024,Electrodomésticos,318.15
1710,Plancha de vapor,$65.43,2,02/01/2024,Electrodomésticos,130.86
2959,Proyector,$88.17,9,02/01/2024,Electrónica,793.53
318,Rincón de plantas,$79.86,11,03/01/2024,Decoración,878.46
419,Candelabro,$66.11,8,03/01/2024,Decoración,528.88
1374,Aspiradora,$95.90,5,03/01/2024,Electrodomésticos,479.50
1571,Freidora eléctrica,$111.18,1,03/01/2024,Electrodomésticos,111.18
1814,Aspiradora,$70.91,2,03/01/2024,Electrodomésticos,141.82
2769,Proyector,$43.62,11,03/01/2024,Electrónica,479.82
2794,Tablet,$67.97,9,03/01/2024,Electrónica,611.73
2824,Tablet,$74.09,5,03/01/2024,Electrónica,370.45
446,Cortinas,$62.10,4,04/01/2024,Decoración,248.40
630,Adorno de pared,$71.99,9,04/01/2024,Decoración,647.91
794,Jarrón decorativo,$96.97,7,04/01/2024,Decoración,678.79
882,Cuadro decorativo,$101.92,9,04/01/2024,Decoración,917.28
969,Candelabro,$90.70,12,04/01/2024,Decoración,1088.40
1445,Lavadora,$28.41,10,04/01/2024,Electrodomésticos,284.10
1971,Freidora eléctrica,$122.25,11,04/01/2024,Electrodomésticos,1344.75
2209,Proyector,$32.15,1,04/01/2024,Electrónica,32.15
256,Cortinas,$86.82,8,05/01/2024,Decoración,694.56
606,Cortinas,$106.66,11,05/01/2024,Decoración,1173.26
704,Jarrón decorativo,$57.22,9,05/01/2024,Decoración,514.98
1362,Heladera,$109.49,11,05/01/2024,Electrodomésticos,1204.39
2155,Auriculares,$84.80,10,05/01/2024,Electrónica,848.00
2947,Cámara digital,$107.78,3,05/01/2024,Electrónica,323.34
1495,Lavadora,$38.99,6,06/01/2024,Electrodomésticos,233.94
1572,Cafetera,$61.40,9,06/01/2024,Electrodomésticos,552.60
2180,Consola de videojuegos,$102.57,9,06/01/2024,Electrónica,923.13
2487,Cámara digital,$50.76,3,06/01/2024,Electrónica,152.28
2603,Smartphone,$87.05,5,06/01/2024,Electrónica,435.25
2885,Auriculares,$100.40,6,06/01/2024,Electrónica,602.40
17,Elementos de cerámica,$108.48,11,07/01/2024,Decoración,1193.28
183,Espejo decorativo,$82.76,8,07/01/2024,Decoración,662.08
560,Adorno de pared,$57.62,6,07/01/2024,Decoración,345.72
632,Cuadro decorativo,$30.49,12,07/01/2024,Decoración,365.88
699,Candelabro,$34.23,12,07/01/2024,Decoración,410.76
1150,Plancha de vapor,$33.63,10,07/01/2024,Electrodomésticos,336.30
1400,Plancha de vapor,$26.91,5,07/01/2024,Electrodomésticos,134.55
1496,Secadora,$95.33,11,07/01/2024,Electrodomésticos,1048.63
1524,Aspiradora,$65.55,8,07/01/2024,Electrodomésticos,524.40
1550,Plancha de vapor,$51.51,7,07/01/2024,Electrodomésticos,360.57
2174,Auriculares,$116.04,11,07/01/2024,Electrónica,1276.44
2773,Smartphone,$107.51,5,07/01/2024,Electrónica,537.55
2920,Consola de videojuegos,$29.49,2,07/01/2024,Electrónica,58.98
84,Jarrón decorativo,$37.05,4,08/01/2024,Decoración,148.20
349,Candelabro,$57.65,6,08/01/2024,Decoración,345.90
687,Elementos de cerámica,$27.68,8,08/01/2024,Decoración,221.44
696,Cortinas,$32.57,8,08/01/2024,Decoración,260.56
1734,Aspiradora,$50.86,4,08/01/2024,Electrodomésticos,203.44
2173,Smartphone,$54.19,12,08/01/2024,Electrónica,650.28
2283,Smartphone,$70.07,11,08/01/2024,Electrónica,770.77
2501,Parlantes Bluetooth,$87.78,1,08/01/2024,Electrónica,87.78
2918,SmartWatch,$82.18,10,08/01/2024,Electrónica,821.80
386,Cortinas,$85.71,8,09/01/2024,Decoración,685.68
599,Candelabro,$47.22,5,09/01/2024,Decoración,236.10
633,Espejo decorativo,$60.39,2,09/01/2024,Decoración,120.78
714,Jarrón decorativo,$42.46,8,09/01/2024,Decoración,339.68
871,Lámpara de mesa,$79.64,11,09/01/2024,Decoración,876.04
1132,Cafetera,$29.88,10,09/01/2024,Electrodomésticos,298.80
1443,Microondas,$67.39,8,09/01/2024,Electrodomésticos,539.12
1584,Aspiradora,$99.58,7,09/01/2024,Electrodomésticos,697.06
1617,Horno eléctrico,$68.53,8,09/01/2024,Electrodomésticos,548.24
1649,Batidora,$39.26,11,09/01/2024,Electrodomésticos,431.86
2917,Cámara digital,$120.87,7,09/01/2024,Electrónica,846.09
315,Alfombra,$122.07,9,10/01/2024,Decoración,1098.63
553,Espejo decorativo,$96.29,9,10/01/2024,Decoración,866.61
817,Elementos de cerámica,$106.31,1,10/01/2024,Decoración,106.31
830,Adorno de pared,$67.23,10,10/01/2024,Decoración,672.30
854,Jarrón decorativo,$42.83,5,10/01/2024,Decoración,214.15
1090,Plancha de vapor,$66.15,8,10/01/2024,Electrodomésticos,529.20
1464,Aspiradora,$36.38,5,10/01/2024,Electrodomésticos,181.90
1933,Microondas,$46.05,6,10/01/2024,Electrodomésticos,276.30
308,Rincón de plantas,$31.70,11,11/01/2024,Decoración,348.70
718,Rincón de plantas,$29.88,8,11/01/2024,Decoración,239.04
804,Jarrón decorativo,$87.84,7,11/01/2024,Decoración,614.88
963,Espejo decorativo,$32.34,5,11/01/2024,Decoración,161.70
1167,Horno eléctrico,$119.70,6,11/01/2024,Electrodomésticos,718.20
1234,Aspiradora,$36.89,7,11/01/2024,Electrodomésticos,258.23
1319,Batidora,$79.98,12,11/01/2024,Electrodomésticos,959.76
1885,Lavadora,$120.75,10,11/01/2024,Electrodomésticos,1207.50
2268,SmartWatch,$48.45,2,11/01/2024,Electrónica,96.90
2325,Auriculares,$117.43,11,11/01/2024,Electrónica,1291.73
2761,Parlantes Bluetooth,$29.89,9,11/01/2024,Electrónica,269.01
243,Espejo decorativo,$55.61,1,12/01/2024,Decoración,55.61
1441,Freidora eléctrica,$52.57,11,12/01/2024,Electrodomésticos,578.27
2428,SmartWatch,$115.00,10,12/01/2024,Electrónica,1150.00
2583,Smartphone,$67.93,10,12/01/2024,Electrónica,679.30
2980,Consola de videojuegos,$110.60,12,12/01/2024,Electrónica,1327.20
88,Rincón de plantas,$109.33,9,13/01/2024,Decoración,983.97
501,Lámpara de mesa,$35.20,6,13/01/2024,Decoración,211.20
507,Elementos de cerámica,$111.10,1,13/01/2024,Decoración,111.10
669,Lámpara de mesa,$96.79,5,13/01/2024,Decoración,483.95
987,Elementos de cerámica,$102.62,3,13/01/2024,Decoración,307.86
1548,Cafetera,$35.73,12,13/01/2024,Electrodomésticos,428.76
2822,Televisor,$57.34,1,13/01/2024,Electrónica,57.34
2924,Tablet,$32.30,1,13/01/2024,Electrónica,32.30
20,Adorno de pared,$90.21,2,14/01/2024,Decoración,180.42
53,Espejo decorativo,$115.45,7,14/01/2024,Decoración,808.15
608,Rincón de plantas,$64.67,10,14/01/2024,Decoración,646.70
993,Espejo decorativo,$98.26,1,14/01/2024,Decoración,98.26
1065,Lavadora,$43.98,6,14/01/2024,Electrodomésticos,263.88
1599,Batidora,$96.78,12,14/01/2024,Electrodomésticos,1161.36
1638,Cafetera,$123.96,9,14/01/2024,Electrodomésticos,1115.64
1685,Lavadora,$84.80,3,14/01/2024,Electrodomésticos,254.40
2685,Auriculares,$27.36,10,14/01/2024,Electrónica,273.60
169,Lámpara de mesa,$76.32,9,15/01/2024,Decoración,686.88
236,Cortinas,$118.69,9,15/01/2024,Decoración,1068.21
260,Adorno de pared,$101.48,9,15/01/2024,Decoración,913.32
977,Elementos de cerámica,$74.35,5,15/01/2024,Decoración,371.75
1271,Freidora eléctrica,$119.46,2,15/01/2024,Electrodomésticos,238.92
2098,SmartWatch,$75.65,5,15/01/2024,Electrónica,378.25
2196,Laptop,$31.69,1,15/01/2024,Electrónica,31.69
2590,Consola de videojuegos,$99.14,6,15/01/2024,Electrónica,594.84
2788,SmartWatch,$30.38,8,15/01/2024,Electrónica,243.04
2803,Smartphone,$95.73,5,15/01/2024,Electrónica,478.65
2874,Tablet,$117.47,2,15/01/2024,Electrónica,234.94
113,Espejo decorativo,$75.93,10,16/01/2024,Decoración,759.30
503,Espejo decorativo,$101.91,3,16/01/2024,Decoración,305.73
832,Cuadro decorativo,$30.59,1,16/01/2024,Decoración,30.59
962,Cuadro decorativo,$40.97,11,16/01/2024,Decoración,450.67
1250,Plancha de vapor,$98.55,6,16/01/2024,Electrodomésticos,591.30
1431,Freidora eléctrica,$83.95,8,16/01/2024,Electrodomésticos,671.60
1920,Plancha de vapor,$86.65,6,16/01/2024,Electrodomésticos,519.90
2129,Proyector,$107.98,6,16/01/2024,Electrónica,647.88
2220,Consola de videojuegos,$31.57,1,16/01/2024,Electrónica,31.57
2477,Cámara digital,$38.37,9,16/01/2024,Electrónica,345.33
2789,Proyector,$115.19,11,16/01/2024,Electrónica,1267.09
2935,Auriculares,$80.29,2,16/01/2024,Electrónica,160.58
131,Lámpara de mesa,$58.32,10,17/01/2024,Decoración,583.20
178,Rincón de plantas,$81.50,1,17/01/2024,Decoración,81.50
368,Rincón de plantas,$87.40,9,17/01/2024,Decoración,786.60
627,Elementos de cerámica,,,17/01/2024,Decoración,0.00
684,Jarrón decorativo,$106.89,6,17/01/2024,Decoración,641.34
1750,Plancha de vapor,$94.53,2,17/01/2024,Electrodomésticos,189.06
2171,Parlantes Bluetooth,,,17/01/2024,Electrónica,0.00
2284,Tablet,$69.35,4,17/01/2024,Electrónica,277.40
2402,Televisor,$117.53,9,17/01/2024,Electrónica,1057.77
2698,SmartWatch,$76.47,7,17/01/2024,Electrónica,535.29
430,Adorno de pared,$81.76,5,18/01/2024,Decoración,408.80
588,Rincón de plantas,$80.17,3,18/01/2024,Decoración,240.51
1626,Secadora,$102.73,6,18/01/2024,Electrodomésticos,616.38
1900,Plancha de vapor,$45.14,1,18/01/2024,Electrodomésticos,45.14
2119,Proyector,$84.10,11,18/01/2024,Electrónica,925.10
2244,Auriculares,$63.67,5,18/01/2024,Electrónica,318.35
2297,Cámara digital,$119.43,5,18/01/2024,Electrónica,597.15
2416,Laptop,$81.74,10,18/01/2024,Electrónica,817.40
2431,Parlantes Bluetooth,$69.40,1,18/01/2024,Electrónica,69.40
2792,Televisor,$84.96,5,18/01/2024,Electrónica,424.80
30,Adorno de pared,$76.92,6,19/01/2024,Decoración,461.52
49,Lámpara de mesa,$52.95,6,19/01/2024,Decoración,317.70
104,Jarrón decorativo,$103.13,8,19/01/2024,Decoración,825.04
323,Espejo decorativo,$123.21,7,19/01/2024,Decoración,862.47
395,Alfombra,$33.48,12,19/01/2024,Decoración,401.76
851,Lámpara de mesa,$85.23,6,19/01/2024,Decoración,511.38
1125,Lavadora,$97.73,12,19/01/2024,Electrodomésticos,1172.76
1332,Cafetera,$98.21,11,19/01/2024,Electrodomésticos,1080.31
1806,Secadora,$27.45,10,19/01/2024,Electrodomésticos,274.50
